product_name,brand,series,model,screen_size,screen_resolution,screen_type,cpu,gpu,ram,storage,os,price,image_url,product_url
ASUS V16 V3607VJ-RP086 | Intel 5-210H | RTX 3050 | 32 GB | 512 GB SSD,ASUS,V16,V3607VJ-RP086,15.6,FHD,IPS,Intel Ultra core 5 210H,RTX 3050,32 GB,512 GB SSD,Windows 11 Home,2595 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1750761333831.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VJ-RP086-Intel-5-210H-RTX-3050-32-GB-512-GB-SSD
Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 32 GB | 512 SSD,MSI,Thin,15 B13UCX FHD,15.6,FHD,IPS,Intel core i7-13620H,RTX 2050,32 GB,512 GB SSD,Windows 11 Home,2539 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1750178873284.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Msi-Thin-15-B13UCX-FHD-32-Go-512-SSD
"Lenovo LOQ 15IRX9 15.6"" FHD | Intel Core i5-13450HX | RTX 3050 | 24GB Ram | 512 NVMe",Lenovo,LOQ,15IRX9,"15.6""",FHD,IPS,Intel core I5-13450HX,RTX 3050,24 GB,512 GB SSD,Windows 11 Home,2 699 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758628435392.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Lenovo-LOQ-15IRX9-15-6-FHD-Intel-Core-i5-13450HX-RTX-3050-24GB-Ram-512-NVMe
"MSI Thin 15 B13UDX-3257XFR | FHD 15.6"" IPS | Intel i7-13620H | RTX 3050 | 8GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3257XFR,15.6,FHD,IPS,Intel core i7-13620H,RTX 3050,8 GB,512 GB SSD,Windows 11 Home,2 799 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758725733692.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/PC-BUREAU-MSI-Thin-15-B13UDX-3257XFR-FHD-15-6-IPS-Intel-i7-13620H-RTX-3050-8GB-Ram-512-GB-NVMe-TUNISIE
"ASUS V16 V3607VU-RP196W | 16"" WUXGA, 144H | Intel Core 5 210H | RTX 4050 | 16GB Ram | 512GB",ASUS,V16,V3607VU-RP196W,15.6,FHD,IPS,Intel Ultra core 5 210H,RTX 4050,512 GB,512 GB SSD,Windows 11 Home,2 895 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1759318917098.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VU-RP196W-16-WUXGA-144H-Intel-Core-5-210H-RTX-4050-16GB-Ram-512GB
"MSI Thin 15 B13UDX-3257XFR | FHD 15.6"" IPS | Intel i7-13620H | RTX 3050 | 16GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3257XFR,15.6,FHD,IPS,Intel core i7-13620H,RTX 3050,16 GB,512 GB SSD,Windows 11 Home,2 927 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758726303622.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/PC-PORTABLE-MSI-Thin-15-B13UDX-3257XFR-FHD-15-6-IPS-Intel-i7-13620H-RTX-3050-16GB-Ram-512-GB-NVMe-TUNISIE
"ASUS V16 V3607VU-RP196W | 16"" WUXGA, 144H | Intel Core 5 210H | RTX 4050 | 24GB Ram | 512GB",ASUS,V16,V3607VU-RP196W,15.6,FHD,IPS,Intel Ultra core 5 210H,RTX 4050,512 GB,512 GB SSD,Windows 11 Home,2 969 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1759319444509.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VU-RP196W-16-WUXGA-144H-Intel-Core-5-210H-RTX-4050-24GB-Ram-512GB
ASUS V16 V3607VJ-RP109 | Intel 7 240H | RTX 3050 | 8 GB | 512 GB SSD,ASUS,V16,V3607VJ-RP109,15.6,FHD,IPS,Intel Ultra core 7 240H,RTX 3050,8 GB,512 GB SSD,Windows 11 Home,2659 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1750762215657.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/ASUS-V16-V3607VJ-RP109-Intel-7-240H-RTX-3050-8-GB-512-GB-SSD-16%22-FHD-144Hz
MSI CYBORG 15 A13VE FHD | i5-13420H | RTX 4050 | 8GB RAM | SSD 512 GB,MSI,CYBORG,15 A13VE FHD,15.6,FHD,IPS,Intel core I5-13420H,RTX 4050,8 GB,512 GB SSD,Windows 11 Home,2959 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758637330818.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-CYBORG-15-A13VE-FHD-i5-13420H-RTX-4050-8GB-RAM-SSD-512-GB
"MSI Thin 15 B13UDX-3257XFR | FHD 15.6"" IPS | Intel i7-13620H | RTX 3050 | 32GB Ram | 512 GB NVMe",MSI,Thin,15 B13UDX-3257XFR,15.6,FHD,IPS,Intel core i7-13620H,RTX 3050,32 GB,512 GB SSD,Windows 11 Home,3 017 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1758726928537.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-Thin-15-B13UDX-3257XFR-FHD-15-6-IPS-Intel-i7-13620H-RTX-3050-32GB-Ram-512-GB-NVMe
Gigabyte G6 MF-H2FR854KH | Intel Core i7-13620H | RTX 4050 | 16GB Ram | 1TB NVMe,GIGABYTE,G6,MF-H2FR854KH,15.6,4K,IPS,Intel core i7-13620H,RTX 4050,16 GB,1TB SSD,Windows 11 Home,3 059 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1738572557996.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Gigabyte-G6-MF-H2FR854KH-Intel-Core-i7-13620H-RTX-4050-16GB-Ram-1TB-NVMe
